ID,Lon,Lat,nrSeryjny
70701356,21.038,52.235,593-072-73164
10997130,21.609,51.423,593-072/72054
316200,16.861,50.834,593-072/71521
3211070,19.743,50.614,593-072/71966
341590,14.804,52.193,593-072/71543
29112790,21.103,52.122,86
9705699,21.891,49.844,593-072/72011
10996859,22.274,51.62,593-072/72051
351610,17.069,51.884,180
334180,21.31,52.88,251
298140,23.184,50.826,289
570281,22.557,50.042,593-072/71667
300920,23.034,51.049,277
322450,18.509,53.274,210
318060,16.304,51.331,227
72888425,18.875,50.3,4
330950,23.105,53.574,218
341010,14.54,53.325,160
314880,22.335,50.751,141
299760,21.939,51.62,118
43162617,19.801,49.85,389
3957221,18.791,49.804,593-072/72006
355760,17.013,53.132,239
353460,16.503,52.485,194
346300,22.961,51.092,172
4407288,18.275,54.603,593-072/71998
331180,20.63,53.713,157
305020,19.426,51.808,148
323940,18.755,53.749,184
8073065,17.858,52.293,593-072/72047
1205068,16.906,51.636,593-072/71696
12213604,19.54,51.601,593-072/72056
309190,20.722,49.614,296
324400,18.983,54.044,123
7841969,20.88,53.029,593-072/72044
357710,21.736,50.457,593-072/71507
346070,17.674,50.652,167
303860,19.893,51.354,122
4283799,17.942,51.844,593-072/71999
1234293,18.662,53.024,593-072/71707
70764588,21.038,52.235,593-072-73165
16676701,16.523,54.001,383
344110,18.754,50.084,262
353920,17.321,52.19,195
310110,20.34,49.447,129
69065974,21.858,50.201,593-072-73173
340430,14.672,52.977,161
27693897,21.491,53.015,388
335450,15.381,51.884,593-072/71545
315510,16.12,51.686,593-072/71513
316780,16.806,50.588,593-072/71520
18539085,21.498,52.109,384
1250799,15.241,52.709,593-072/71714
3807617,22.244,52.971,593-072/71987
5227875,15.096,51.603,348
1205060,20.89,51.873,593-072/71692
317710,15.684,51.261,593-072/71523
4488998,22.978,51.161,338
4411016,23.11,53.59,341
72153907,20.141,52.639,593-072-73186
71840286,16.804,52.649,593-072-73187
317010,15.614,51.26,593-072/71537
333370,21.027,52.923,247
5816359,19.603,53.609,353
304670,19.505,51.089,183
336780,16.205,54.205,235
570297,20.385,50.137,593-072/71679
63588522,16.302,54.23,593-072-73153
334760,15.683,52.321,593-072/71525
4621397,22.297,52.577,346
319220,16.418,50.988,226
303170,19.432,51.714,147
8029108,20.505,50.999,359
28220443,21.23,52.25,85
10997041,20.322,52.139,593-072/72053
347690,19.155,50.377,173
3428883,19.79,50.116,593-072/71983
309880,19.906,49.874,187
9705345,19.05,50.243,593-072/72010
347340,18.799,50.474,308
570284,21.843,50.071,593-072/71669
327730,20.898,53.249,294
1255318,19.281,51.821,593-072/71713
324860,18.943,53.759,139
355530,16.86,53.142,222
326010,17.716,52.843,197
323250,18.156,54.604,268
358750,21.125,52.131,71
12929330,19.225,52.026,593-072/72059
1250678,21.077,51.42,593-072/71700
7997345,18.652,50.665,371
306980,21.406,49.852,128
8073184,18.612,53.035,593-072/72049
332680,21.342,53.388,275
4754720,19.399,51.077,593-072/72007
339510,16.714,54.366,238
323710,17.866,54.573,270
4621051,21.099,52.315,345
53752843,14.598,53.4,593-072/73127
357580,19.534,52.213,301
351150,22.868,52.42,175
70701330,21.035,52.235,593-072-73163
5619231,14.57,52.369,349
8029977,17.791,51.656,360
28795618,21.007,52.21,593-071/71375
8023410,20.545,52.769,363
3903803,19.587,53.605,593-072/71989
315340,22.329,50.071,146
339740,16.296,53.331,258
4169542,20.625,51.36,593-072/71995
308350,21.089,52.57,100
333140,21.524,53.118,278
1506231,15.857,52.071,328
570283,21.756,50.386,593-072/71671
313150,21.322,49.994,593-072/71508
1203333,22.677,51.286,593-072/71684
4632159,19.394,52.221,593-072/72002
329690,22.234,52.981,105
338180,16.201,54.175,236
8073429,21.763,52.56,593-072/72048
28795829,21.047,52.19,593-071/71072
310380,20.903,49.978,132
570285,17.279,50.951,593-072/71608
310610,20.083,49.437,134
308560,21.486,50.103,225
1203339,19.679,53.502,593-072/71694
311770,20.229,50.086,303
8002136,19.499,51.195,362
329460,23.107,53.582,108
298370,23.337,50.686,293
320380,18.065,53.83,143
341800,15.151,52.012,593-072/71542
349080,16.382,52.497,208
28371845,20.954,52.186,593-072/71602
1255305,16.492,53.28,593-072/71710
72154147,22.548,51.253,593-072-73194
1203341,18.093,51.812,593-072/71695
3428993,20.93,50.44,593-072/71971
352880,16.278,52.143,192
8023518,18.37,54.349,366
335220,15.088,52.058,593-072/71524
7466648,19.958,49.695,593-072/72039
8023454,18.204,54.24,364
12213615,20.489,51.01,593-072/72057
7844425,22.31,50.826,593-072/72045
299410,20.612,52.882,593-072/71515
350980,17.392,52.092,176
3428712,19.91,49.861,593-072/71984
298600,23.426,50.42,292
356390,18.929,52.25,257
47846074,22.598,51.311,593-072/73128
28359667,21.028,52.161,593-072/71599
357120,17.41,52.368,205
5784284,23.04,52.651,352
330320,23.096,53.441,223
1203334,22.988,51.3,593-072/71686
13226496,15.352,53.471,593-072/72061
354320,17.875,51.484,233
335910,14.485,53.426,593-072/71546
352420,16.686,52.262,206
300690,23.349,51.168,279
308140,19.525,52.902,102
72153915,19.442,51.733,593-072-73188
69798483,16.371,50.66,593-072-73175
1063252,18.216,53.061,318
329920,20.809,54.241,107
326810,18.044,54.166,240
336430,15.088,52.313,284
28795960,20.972,52.206,593-071/71379
570287,16.581,50.878,593-072/71609
356620,17.063,52.406,207
4757645,22.4,50.716,593-072/72008
10996708,22.727,51.302,593-072/72050
